Date,Open,High,Low,Close,Adj Close,Volume
2022-03-31,140.550003,142.949997,136.050003,136.699997,135.637009,17648
2022-04-01,138.100006,143.500000,138.050003,143.500000,142.384140,9856
2022-04-04,149.899994,150.649994,142.550003,146.250000,145.112762,19587
2022-04-05,150.000000,150.000000,142.399994,142.600006,141.491150,17663
2022-04-06,143.000000,147.600006,141.550003,142.550003,141.441528,13822
2022-04-07,145.399994,146.949997,140.250000,141.600006,140.498917,18998
2022-04-08,143.100006,146.800003,141.000000,144.600006,143.475586,9204
2022-04-11,146.949997,146.949997,140.000000,141.800003,140.697357,11387
2022-04-12,143.000000,143.199997,136.500000,138.199997,137.125351,12482
2022-04-13,142.449997,142.449997,138.000000,139.000000,137.919128,8698
2022-04-18,135.000000,139.399994,128.199997,133.350006,132.313080,5739
2022-04-19,139.699997,139.699997,130.149994,134.600006,133.553360,11542
2022-04-20,136.000000,137.899994,130.600006,133.750000,132.709961,6190
2022-04-21,133.800003,135.850006,127.699997,129.250000,128.244949,43424
2022-04-22,128.899994,134.800003,126.699997,128.500000,127.500778,33603
2022-04-25,134.899994,134.899994,122.000000,127.750000,126.756615,28734
2022-04-26,129.000000,130.500000,125.550003,127.500000,126.508560,19787
2022-04-27,128.050003,129.350006,124.750000,125.300003,124.325668,6799
2022-04-28,124.599998,128.199997,123.250000,124.699997,123.730324,18183
2022-04-29,127.300003,131.949997,125.000000,126.000000,125.020218,16877
2022-05-02,126.000000,128.449997,121.000000,122.150002,121.200157,9544
2022-05-04,127.449997,127.449997,116.750000,119.050003,118.124268,5590
2022-05-05,122.599998,123.349998,117.949997,118.949997,118.025040,5470
2022-05-06,116.900002,122.000000,115.000000,119.699997,118.769211,10493
2022-05-09,119.949997,119.949997,110.550003,112.599998,111.724419,21072
2022-05-10,115.400002,115.400002,108.000000,108.699997,107.854744,9950
2022-05-11,113.849998,113.849998,101.000000,105.349998,104.530792,21314
2022-05-12,105.000000,105.000000,100.000000,100.650002,99.867348,11603
2022-05-13,109.449997,109.449997,98.750000,100.849998,100.065788,19127
2022-05-16,102.900002,107.849998,101.000000,102.449997,101.653343,7558
2022-05-17,107.000000,108.449997,103.500000,105.300003,104.481186,9478
2022-05-18,107.500000,115.800003,107.500000,115.800003,114.899536,23756
2022-05-19,110.000000,127.349998,110.000000,126.550003,125.565948,91865
2022-05-20,130.050003,132.000000,122.000000,123.349998,122.390823,50634
2022-05-23,123.349998,124.750000,120.099998,121.349998,120.406380,7223
2022-05-24,119.199997,121.349998,115.449997,115.699997,114.800308,10964
2022-05-25,120.949997,120.949997,111.150002,113.599998,112.716644,9910
2022-05-26,112.000000,116.000000,108.800003,113.099998,112.220528,5362
2022-05-27,118.750000,118.750000,118.750000,118.750000,117.826599,2396
2022-05-30,124.650002,124.650002,120.099998,124.650002,123.680717,9035
2022-05-31,130.850006,130.850006,127.599998,130.850006,129.832520,17824
2022-06-01,132.899994,137.350006,130.850006,136.850006,135.785858,46257
2022-06-02,140.000000,140.000000,133.399994,134.250000,133.206070,27426
2022-06-03,133.000000,133.100006,127.550003,127.849998,126.855835,8483
2022-06-06,126.449997,126.500000,121.500000,122.800003,121.845108,10390
2022-06-07,122.800003,122.800003,116.699997,117.199997,116.288651,21021
2022-06-08,122.599998,122.599998,112.300003,113.150002,112.270142,14846
2022-06-09,117.349998,118.800003,112.150002,116.949997,116.040588,20243
2022-06-10,119.000000,119.849998,114.300003,115.300003,114.403427,6104
2022-06-13,115.300003,115.300003,109.550003,110.150002,109.293472,13176
2022-06-14,111.949997,115.650002,111.000000,114.349998,113.460808,11058
2022-06-15,114.199997,114.250000,112.500000,113.550003,112.667038,4425
2022-06-16,114.250000,116.699997,110.000000,110.099998,109.243858,4843
2022-06-17,111.000000,111.000000,107.000000,109.650002,108.797363,8408
2022-06-20,111.699997,113.599998,104.199997,104.250000,103.439346,12036
2022-06-21,106.349998,109.449997,105.050003,109.449997,108.598915,5644
2022-06-22,114.699997,114.699997,106.000000,108.150002,107.309021,4280
2022-06-23,108.000000,111.599998,107.199997,111.099998,110.236084,3437
2022-06-24,111.000000,111.050003,107.250000,110.099998,109.243858,3761
2022-06-27,112.849998,112.900002,106.349998,109.500000,108.648529,8323
2022-06-28,108.349998,114.949997,108.250000,111.900002,111.029861,10374
2022-06-29,116.849998,116.849998,110.500000,110.949997,110.087250,4520
2022-06-30,112.250000,116.000000,112.250000,113.650002,112.766258,10565
2022-07-01,113.000000,115.000000,112.099998,113.800003,112.915092,1970
2022-07-04,117.449997,117.449997,110.500000,111.599998,110.732193,1827
2022-07-05,114.000000,117.150002,112.000000,115.500000,114.601868,15281
2022-07-06,117.949997,121.250000,117.400002,119.800003,118.868439,12605
2022-07-07,123.000000,124.900002,116.900002,122.849998,121.894714,16875
2022-07-08,120.150002,127.599998,118.000000,120.699997,119.761429,12962
2022-07-11,118.199997,124.199997,118.199997,122.250000,121.299385,2835
2022-07-12,121.300003,127.000000,121.300003,125.800003,124.821777,12758
2022-07-13,127.750000,127.750000,123.250000,124.750000,123.779938,3956
2022-07-14,126.949997,126.949997,119.250000,120.250000,119.314934,10834
2022-07-15,120.500000,124.849998,120.500000,121.099998,120.158325,6750
2022-07-18,121.800003,123.000000,117.000000,120.150002,119.215714,4441
2022-07-19,120.050003,126.150002,120.050003,126.150002,125.169060,12287
2022-07-20,128.800003,132.449997,128.250000,132.449997,131.420059,16052
2022-07-21,139.050003,139.050003,139.050003,139.050003,137.968750,11941
2022-07-22,143.800003,145.100006,132.100006,134.550003,133.503738,48625
2022-07-25,136.000000,141.250000,131.350006,141.250000,140.151642,20584
2022-07-26,143.949997,146.000000,140.399994,142.350006,141.243088,29136
2022-07-27,142.350006,145.000000,135.550003,136.800003,135.736237,76784
2022-07-28,136.850006,143.600006,135.350006,136.699997,135.637009,23722
2022-07-29,138.500000,141.899994,133.300003,137.350006,136.281967,13466
2022-08-01,138.699997,140.000000,136.149994,136.949997,135.885071,12539
2022-08-02,136.000000,138.000000,131.350006,132.149994,131.122391,17660
2022-08-03,132.149994,133.100006,126.099998,127.099998,126.111664,13016
2022-08-04,127.800003,133.449997,127.349998,133.449997,132.412292,28799
2022-08-05,139.000000,139.000000,126.000000,130.500000,129.485229,19805
2022-08-08,128.500000,131.850006,128.050003,129.449997,128.443390,7352
2022-08-10,136.699997,137.000000,127.150002,128.699997,127.699226,17332
2022-08-11,128.000000,131.600006,127.000000,127.750000,126.756615,13188
2022-08-12,127.000000,132.050003,127.000000,129.550003,128.542618,5172
2022-08-16,131.800003,131.800003,127.300003,129.300003,128.294571,4946
2022-08-17,132.899994,135.000000,128.000000,129.600006,128.592239,29899
2022-08-18,133.899994,134.250000,130.000000,133.600006,132.561127,23177
2022-08-19,137.000000,137.600006,126.199997,128.199997,127.203110,40266
2022-08-22,128.100006,129.750000,126.050003,126.599998,125.615555,8727
2022-08-23,131.899994,131.899994,126.650002,128.600006,127.600006,10207
2022-08-24,133.300003,133.300003,128.199997,130.050003,130.050003,5476
2022-08-25,132.600006,143.050003,130.500000,143.050003,143.050003,84171
2022-08-26,148.699997,157.350006,146.000000,151.149994,151.149994,164206
2022-08-29,141.800003,152.500000,137.000000,146.300003,146.300003,43682
2022-08-30,151.000000,151.000000,143.399994,144.300003,144.300003,20623
2022-09-01,146.000000,158.699997,144.699997,158.699997,158.699997,95578
2022-09-02,164.800003,170.000000,154.000000,157.699997,157.699997,66911
2022-09-05,160.000000,167.500000,158.050003,162.350006,162.350006,41805
2022-09-06,163.000000,165.850006,160.600006,162.149994,162.149994,27208
2022-09-07,162.149994,167.899994,160.000000,162.350006,162.350006,16812
2022-09-08,164.449997,166.000000,159.600006,160.449997,160.449997,12143
2022-09-09,163.949997,163.949997,155.800003,156.399994,156.399994,16740
2022-09-12,156.750000,161.350006,155.149994,158.899994,158.899994,15510
2022-09-13,163.800003,163.800003,156.100006,157.449997,157.449997,20703
2022-09-14,157.300003,159.800003,154.149994,158.649994,158.649994,9392
2022-09-15,159.500000,160.800003,154.050003,154.750000,154.750000,13028
2022-09-16,156.699997,156.699997,150.100006,151.350006,151.350006,13072
2022-09-19,155.000000,156.000000,148.350006,149.750000,149.750000,14433
2022-09-20,150.050003,154.649994,148.350006,149.850006,149.850006,14722
2022-09-21,153.800003,153.800003,144.149994,146.050003,146.050003,15186
2022-09-22,144.199997,150.000000,144.000000,149.550003,149.550003,8643
2022-09-23,150.000000,151.949997,145.199997,146.899994,146.899994,9549
2022-09-26,147.300003,147.300003,136.050003,138.399994,138.399994,13944
2022-09-27,143.949997,148.250000,138.899994,146.199997,146.199997,11146
2022-09-28,146.300003,146.899994,140.050003,141.050003,141.050003,8613
2022-09-29,141.649994,143.949997,141.649994,141.800003,141.800003,3109
2022-09-30,142.949997,144.399994,138.550003,143.949997,143.949997,7580
